"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_up","GO_BP","GO:1902105","regulation of leukocyte differentiation","1/3","33/1522",1,0.0636868064538877,0.195769463451186,"CORO1C"
"loss_up","GO_BP","GO:0002376","immune system process","2/3","237/1522",2,0.0650124005673118,0.195769463451186,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0007015","actin filament organization","1/3","34/1522",1,0.0655732668841351,0.195769463451186,"CORO1C"
"loss_up","GO_BP","GO:0016050","vesicle organization","1/3","34/1522",1,0.0655732668841351,0.195769463451186,"CORO1C"
"loss_up","GO_BP","GO:0051239","regulation of multicellular organismal process","2/3","246/1522",2,0.069746353458388,0.205253554463256,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0031346","positive regulation of cell projection organization","1/3","37/1522",1,0.0712174416049297,0.206630886910078,"CORO1C"
"loss_up","GO_BP","GO:0001932","regulation of protein phosphorylation","1/3","39/1522",1,0.0749675696620505,0.214490546533089,"CORO1C"
"loss_up","GO_BP","GO:0030900","forebrain development","1/3","40/1522",1,0.0768388422790524,0.216832897390203,"CORO1C"
"loss_up","GO_BP","GO:0051338","regulation of transferase activity","1/3","41/1522",1,0.0787075895618884,0.21706914337664,"CORO1C"
"loss_up","GO_BP","GO:0034329","cell junction assembly","1/3","42/1522",1,0.0805738132157129,0.21706914337664,"CORO1C"
"loss_up","GO_BP","GO:0002683","negative regulation of immune system process","1/3","43/1522",1,0.0824375149456812,0.21706914337664,"ELF1"
"loss_up","GO_BP","GO:0010720","positive regulation of cell development","1/3","43/1522",1,0.0824375149456812,0.21706914337664,"CORO1C"
"loss_up","GO_BP","GO:0042325","regulation of phosphorylation","1/3","43/1522",1,0.0824375149456812,0.21706914337664,"CORO1C"
